SalePrice,Area,Bedrooms,Bathrooms,CarParks,PropertyType
372000,1620,2,1,1,1
431500,703,4,2,2,0
605000,476,2,1,3,0
667000,395,3,2,1,0
452000,608,4,2,2,0
520000,2127,2,1,1,1
1085000,596,3,2,1,0
424000,1781,2,2,2,0
750000,83,2,2,1,1
1900000,552,4,1,4,0
305000,101,1,1,0,1
880000,352,3,1,1,0
462000,450,2,1,1,1
295000,69,1,1,1,1
668700,646,4,2,2,0
341000,635,3,1,2,0
408000,557,4,2,2,0
325000,1239,1,1,1,1
1975000,335,2,3,2,1
952500,328,4,1,1,0
522000,543,4,2,2,0
640000,478,3,1,3,0
801000,613,3,2,2,0
332500,537,3,1,2,0
550000,173,3,1,2,1
495897,2127,2,1,1,1
503000,416,3,2,2,0
370000,613,3,2,2,0
495000,792,3,2,2,0
270000,654,3,1,2,0
470000,606,3,1,2,0
295000,257,3,1,2,1
760000,266,3,1,1,0
350000,293,3,2,1,0
320000,878,1,1,1,1
335000,560,3,1,2,0
1000000,922,4,1,2,0
260000,636,3,1,3,0
3175000,891,4,2,2,0
650000,1410,2,2,2,1
310000,1569,1,1,1,1
2650000,1458,4,3,2,0
365000,210,3,2,2,1
475000,291,2,1,1,1
343000,798,3,2,2,0
560000,1423,2,1,1,1
345000,239,4,2,2,1
405000,448,4,2,2,0
447000,179,3,1,2,1
370000,320,3,1,1,0
660000,207,2,2,2,0
415000,392,3,2,2,0
675000,588,2,1,1,1
505000,364,4,2,2,0
2220000,613,3,1,2,0
355000,569,4,2,2,0
400000,420,4,2,2,0
501000,457,4,2,2,0
330000,370,4,2,2,0
455000,920,2,1,1,1
555000,426,3,2,1,0
550000,102,3,2,1,1
340000,198,2,1,1,1
520000,573,3,1,2,1
442000,585,4,2,2,0
572000,292,2,1,1,0
385000,349,4,2,2,0
337000,400,3,2,2,0
282000,564,3,1,2,0
345000,571,3,2,2,0
228000,580,3,1,2,0
385000,313,3,1,1,0
871000,1062,4,2,2,0
750000,401,3,1,1,0
470000,551,3,1,2,0
652500,669,2,1,2,0
522500,169,2,1,1,1
635250,489,2,1,1,0
690000,297,3,2,2,1
240000,178,2,1,1,1
370000,547,3,2,2,0
480000,693,4,2,1,0
450000,1213,3,2,2,0
395000,788,2,1,1,1
390000,608,4,2,2,0
380000,400,4,2,2,0
321500,216,2,1,1,1
610000,955,2,2,1,1
329900,121,2,1,1,0
340000,467,4,2,2,0
435000,752,4,2,2,0
385000,1732,2,1,1,1
300000,656,3,1,1,0
325000,336,3,2,2,0
652000,3003,2,2,1,1
1095000,865,3,3,3,0
277000,938,2,1,1,1
480000,497,3,2,1,1
362000,697,1,1,1,1
300000,2323,1,1,1,1
420000,399,4,2,2,0
358000,392,3,2,2,0
329000,632,3,2,2,0
710000,271,3,1,1,1
325000,472,4,2,2,0
445000,608,4,2,2,0
372000,399,4,2,2,0
1400000,759,3,1,1,0
462000,508,3,1,1,0
425000,773,4,2,2,0
250000,54,2,1,1,1
600000,409,3,1,1,0
555000,646,4,3,2,0
1280000,130,2,2,2,0
400600,2466,2,1,1,1
257000,1805,2,1,1,1
830000,715,2,1,2,0
330000,348,2,1,1,0
388000,376,3,2,2,0
353300,577,3,2,1,0
537500,155,3,2,2,0
245000,1181,1,1,1,1
360000,262,3,2,2,1
580000,160,3,2,1,0
440000,448,4,2,2,0
1250000,199,2,1,1,1
410000,400,3,2,2,0
325000,575,3,1,2,0
530000,213,3,2,2,0
393000,147,3,2,2,0
395000,404,4,2,2,0
432500,604,4,3,2,0
290000,590,3,1,2,0
385000,724,3,1,4,0
383500,783,2,1,1,1
591000,123,2,2,1,1
229000,420,4,2,2,0
245000,1977,2,1,1,1
345000,764,3,1,2,0
425000,668,1,1,1,0
423000,209,3,2,2,0
477500,400,4,2,2,0
690000,339,2,1,2,0
335000,800,3,1,2,0
400000,1915,2,1,0,1
765000,634,2,1,1,0
900000,383,3,1,1,0
419900,349,3,2,2,0
535000,156,2,1,1,1
745000,465,2,1,1,0
511000,392,3,1,1,1
422000,554,3,2,2,0
376000,1167,2,2,1,1
450000,539,3,2,2,0
502500,510,4,2,2,0
481055,645,4,2,2,0
357000,614,3,1,1,0
451000,825,2,1,1,1
842500,315,3,2,2,0
310000,548,3,1,1,0
405000,374,3,2,2,0
365000,448,3,2,2,0
850000,546,3,2,2,0
505000,1020,2,1,1,1
297500,614,3,2,2,0
330000,2832,1,1,1,1
495000,576,4,2,2,0
545000,187,2,1,1,1
1286000,412,3,1,2,0
1300000,902,3,2,2,0
365000,300,3,2,1,0
295000,273,1,1,1,1
285000,603,3,1,2,0
500000,797,2,1,1,1
350000,439,4,2,2,0
515000,3003,1,1,1,1
430000,261,3,2,2,1
1670000,1018,4,3,2,0
701000,238,3,2,2,1
270000,750,3,1,2,0
467000,502,3,1,1,0
1549000,184,3,2,1,0
1760000,340,4,3,1,0
457000,587,4,2,2,0
556000,761,2,1,2,1
665000,678,3,2,2,0
385000,300,3,1,1,0
1540000,402,3,2,2,0
885000,154,2,1,1,0
441000,616,4,2,2,0
875000,669,3,1,2,0
480000,512,4,2,2,0
480000,863,4,2,2,0
405000,420,4,2,2,0
854000,142,3,2,2,1
315000,273,2,1,1,1
310000,1019,2,1,1,1
436000,627,3,1,0,0
1369000,400,3,1,2,0
2250000,2838,2,2,2,1
456000,584,3,2,2,0
383000,2311,1,1,1,1
1030000,464,4,2,2,0
540000,1001,4,2,4,0
1950000,373,3,3,2,0
277000,270,2,1,1,1
479500,512,4,2,2,0
350000,568,4,2,2,0
900000,1013,3,2,4,1
369500,106,1,2,2,0
1431000,636,4,2,2,0
344000,570,4,2,2,0
565002,313,4,2,2,0
665000,193,3,2,1,0
320000,659,4,2,2,0
397500,2832,1,1,1,1
321000,1003,2,1,1,1
342500,676,3,1,2,0
640000,142,3,2,1,1
520000,797,3,2,1,0
450001,2321,1,1,1,1
295000,149,2,1,1,1
319000,216,3,1,1,1
342000,512,3,2,2,0
406500,667,5,2,2,0
1055000,2322,3,3,2,1
1325000,847,3,1,2,0
305000,280,3,2,1,1
3800000,920,4,3,2,0
363000,82,2,1,1,1
460000,195,2,1,2,1
560000,571,3,1,2,0
668000,761,3,2,1,1
630000,559,4,4,2,0
301500,790,2,1,1,1
360000,697,3,2,2,0
339900,72,2,1,1,0
300000,1378,1,1,0,1
470000,696,5,2,5,0
415000,1937,2,2,1,1
365000,504,3,1,1,0
880000,138,3,1,2,1
665000,215,3,2,2,1
908880,670,4,2,2,0
862500,1037,2,2,2,1
499000,1349,2,2,1,0
422500,350,3,2,2,0
410000,585,3,1,2,0
1065000,571,4,2,5,0
686000,1386,2,2,1,1
650000,249,3,2,2,1
477500,160,3,2,1,1
650000,2230,2,2,1,1
700000,715,3,1,1,0
505500,198,2,2,1,1
468000,2038,2,1,2,1
280000,284,4,2,1,1
320000,330,3,2,1,0
505000,412,3,2,2,0
920000,725,3,1,3,0
426500,2343,1,1,1,1
639000,238,3,2,2,1
567250,1296,2,1,1,1
320000,760,1,1,1,1
235000,393,2,1,1,1
350000,312,3,2,1,0
215000,166,4,2,2,0
305000,557,3,1,1,0
459000,782,4,2,2,0
360000,914,2,1,1,1
460000,420,4,2,2,0
442000,661,4,2,2,0
245000,580,3,1,4,0
295000,220,2,2,1,1
250000,165,2,1,1,0
591000,296,3,1,1,0
2085000,620,3,2,3,0
490000,656,4,2,2,0
400000,605,2,2,1,0
980000,228,4,2,2,1
1100000,186,3,1,1,0
782500,472,4,1,4,0
440000,1022,3,2,2,0
455000,585,3,1,1,0
1950000,892,5,2,3,0
798850,1397,2,2,1,1
561000,230,2,1,2,1
356000,669,3,1,1,0
480000,458,3,2,2,0
285000,929,2,1,1,1
2770000,650,4,4,2,0
435000,545,3,2,1,0
410000,306,3,2,2,0
358500,538,4,1,2,0
500000,576,4,2,2,0
822000,225,3,2,2,0
460000,448,4,2,1,0
580000,195,2,1,1,1
775000,780,2,2,1,1
560000,910,3,1,2,0
345000,226,2,1,1,1
315000,534,4,2,2,0
837000,657,4,2,2,0
860000,287,4,2,2,1
275000,2038,2,1,1,1
375000,790,3,2,2,0
265000,561,3,2,3,0
337500,705,3,1,1,1
351000,337,3,2,2,0
1279000,693,3,1,2,0
2300000,1557,2,2,3,0
372000,868,3,1,2,0
556500,1386,3,1,1,0
590000,319,3,2,2,0
266000,574,3,1,2,0
430000,480,4,2,2,0
339000,191,3,1,2,0
527000,673,3,1,2,0
440000,190,3,2,1,1
2600000,657,5,3,2,0
298000,864,2,1,1,1
380000,536,3,1,2,0
590000,630,5,3,3,0
419000,661,4,2,2,0
340000,655,2,1,1,1
278500,452,1,1,1,1
338000,604,4,1,2,0
330000,551,3,2,2,0
210000,448,4,2,2,0
342000,448,3,2,2,0
382400,293,4,2,2,0
339000,899,2,1,1,1
390000,2106,2,1,1,1
703000,257,3,2,2,1
344000,177,2,1,1,0
367000,320,3,2,1,0
738000,606,4,3,2,0
497000,350,4,3,2,0
375000,612,3,1,2,0
540000,640,4,2,2,0
412002,515,4,2,2,1
620100,163,2,1,1,1
1320000,634,3,1,1,0
512000,750,4,2,2,0
335000,541,3,1,2,0
308000,313,3,2,1,0
572500,487,4,2,2,0
1610000,651,3,2,4,0
520000,450,2,2,1,1
388000,436,4,2,2,0
580000,2322,2,1,1,1
960000,1018,3,1,2,0
352000,691,4,2,2,0
532990,650,3,1,1,1
1150243,583,3,1,2,0
704000,862,3,1,1,0
772000,588,3,2,1,0
660000,2248,2,2,1,1
570000,1214,1,1,1,1
480000,2127,2,1,1,1
265000,329,3,1,1,0
4700000,1094,3,3,3,0
518000,664,2,2,1,1
580000,1850,2,1,1,1
414500,76,2,1,1,1
297000,535,3,1,3,0
5200000,1310,5,4,2,0
250000,2077,1,1,1,1
314250,315,3,2,2,0
475000,419,4,2,2,0
945000,697,4,2,2,0
565000,576,2,2,1,1
1010000,506,2,1,2,1
1575000,725,2,1,1,0
775000,405,2,1,2,0
806000,343,3,1,1,0
485000,691,3,2,1,0
347000,587,3,1,1,0
452000,595,4,2,2,0
500000,225,2,1,1,0
340000,499,3,1,1,0
435000,536,4,2,2,0
410000,578,4,3,3,0
330000,500,3,2,2,0
390000,469,4,2,2,0
392500,575,2,1,0,1
600000,988,4,2,2,0
920000,568,3,1,2,0
258000,108,2,1,1,1
344900,238,3,2,1,0
462000,540,4,2,2,0
2885000,908,4,3,2,0
361400,219,3,2,2,1
200000,1294,1,1,1,1
309000,319,3,1,1,0
760000,692,3,2,1,1
800000,613,3,1,3,0
400000,400,4,2,2,0
380000,649,3,2,1,0
310000,320,3,1,1,0
680000,734,3,2,1,0
330000,329,3,1,1,0
325000,605,3,1,1,0
922500,440,3,2,2,1
418000,221,2,1,1,0
360000,988,2,1,1,1
363000,325,2,2,2,1
452000,880,2,1,1,1
852000,235,3,3,2,0
756000,336,2,1,1,0
750000,657,3,2,2,0
385000,624,3,1,1,0
1860000,594,4,2,1,0
323000,320,3,1,1,0
1530000,3043,2,2,2,1
341500,294,3,2,1,0
555000,742,4,2,2,0
805000,697,3,3,6,0
420000,98,2,2,1,1
408000,652,2,1,1,1
610000,102,3,2,1,0
378800,512,4,2,2,0
320000,630,3,2,2,0
620000,642,3,1,1,0
417400,349,4,2,2,0
621000,672,3,1,6,0
420000,793,4,2,2,0
1438888,731,3,3,5,0
520000,592,3,1,1,0
615000,635,2,1,1,1
367000,464,4,2,2,0
530000,400,6,2,2,0
740000,744,4,2,2,0
275000,920,2,1,1,1
450000,825,4,2,2,0
450000,963,2,1,1,1
327000,139,2,2,1,0
290000,306,1,2,2,0
450000,521,2,1,1,1
290000,400,4,2,2,0
6850000,1301,5,4,2,0
262000,284,3,1,2,1
504000,595,3,1,1,0
372000,778,3,2,2,0
582000,512,4,2,2,0
300000,574,3,2,1,0
460000,199,3,3,1,0
1190000,829,3,1,2,0
320000,878,1,1,1,0
282000,211,2,1,2,1
1350000,663,4,2,2,0
631000,555,3,1,2,0
439500,185,3,1,2,1
304200,542,4,2,2,0
260000,202,2,1,1,1
460000,2416,2,1,1,1
1160000,794,3,2,2,1
310000,537,3,1,1,0
310000,313,2,2,1,0
485000,672,4,2,2,0
735000,405,3,1,1,0
330000,131,2,1,1,1
452000,262,3,2,2,0
283000,142,2,1,2,1
420000,1732,2,1,1,0
520000,767,4,2,2,0
395000,263,3,2,2,0
319950,765,1,1,1,1
487000,633,3,1,1,1
410000,742,4,2,2,0
485000,148,2,1,2,1
372000,516,3,2,2,0
540000,566,4,2,2,0
360000,400,3,1,1,0
680000,243,3,2,1,1
468000,114,3,2,2,1
671000,487,4,1,2,0
400000,369,3,2,2,0
390000,447,4,2,2,0
830000,658,4,2,2,0
425000,782,4,2,2,0
405000,1471,1,1,1,1
500000,278,3,2,1,1
550000,1463,2,2,1,1
900000,371,3,1,1,0
325000,1271,1,1,1,1
360000,182,2,1,1,1
600000,238,3,2,2,1
307000,555,3,1,2,0
650000,818,3,1,3,0
318950,266,2,1,1,0
850000,154,2,1,2,0
550000,172,2,1,1,1
1130000,564,4,2,2,0
390000,400,4,2,2,0
345000,52,2,1,1,0
225000,822,2,1,1,1
365000,526,2,1,1,1
337500,264,3,2,2,0
326000,563,3,2,2,0
527000,719,4,1,2,0
604000,711,3,1,2,0
205000,110,2,1,1,1
330000,282,3,2,1,0
1120000,858,3,1,4,0
392500,442,2,1,1,0
1065000,158,2,3,1,0
1072500,761,5,2,2,0
1380000,801,3,2,2,0
675000,613,3,2,1,1
368500,575,2,1,0,1
482500,571,4,2,2,0
425250,191,3,1,1,0
580000,579,3,2,2,0
750000,490,4,2,2,0
550000,186,3,2,1,0
360000,562,3,2,2,0
380000,612,3,2,2,0
380000,546,3,1,1,0
255000,2661,1,1,1,1
736000,1386,2,2,1,1
2850000,650,4,2,4,0
500000,1012,2,1,1,1
625000,1293,2,2,1,1
351000,739,3,2,2,0
410000,301,3,2,1,0
235000,549,3,1,1,0
600000,1947,2,2,1,1
810000,956,2,1,2,0
1200000,444,3,2,2,0
2610000,723,4,4,3,0
365000,675,3,1,1,0
710000,809,3,2,2,1
665000,777,5,1,4,0
477000,729,4,2,2,0
305000,598,1,1,1,1
387000,640,3,2,1,0
1310000,1027,5,2,3,0
1376000,2825,2,2,1,1
395000,588,3,1,2,0
448000,448,4,2,2,0
320000,650,3,1,4,0
3500000,561,3,3,4,0
488000,301,3,2,2,0
270000,96,3,1,1,1
200000,400,3,2,2,0
440000,444,4,2,2,0
850000,173,2,1,1,1
299000,613,3,1,2,0
405000,450,3,2,2,0
368000,601,4,2,2,0
288000,341,2,1,1,0
387500,534,3,2,1,0
565000,792,3,2,2,0
283000,268,2,1,1,1
365000,619,3,1,1,0
890000,367,3,2,6,0
375000,609,3,2,2,0
4530000,942,3,1,2,0
665000,811,4,2,3,0
493000,2196,2,1,1,1
350000,349,3,2,2,0
598000,99,2,2,1,0
545000,3482,1,1,1,1
870000,512,3,1,2,0
605000,98,2,1,1,1
335900,138,3,2,2,1
301000,1505,2,1,1,1
710000,253,3,2,3,0
651000,669,2,1,1,0
300000,214,2,1,1,1
406002,575,4,3,2,0
540000,630,4,2,2,0
475000,620,4,2,2,0
622080,1282,2,2,1,1
550000,455,4,2,2,0
861000,348,4,3,2,0
295000,647,3,1,2,0
1705000,265,3,1,1,0
395000,540,3,2,2,0
361000,433,3,2,2,0
560000,139,3,2,2,1
478500,697,2,1,1,1
405000,738,3,2,6,0
318000,55,1,1,1,1
985000,337,3,3,2,0
359000,337,3,2,1,0
225000,2018,2,1,2,1
1290000,311,3,3,2,1
1420000,375,5,4,2,0
318000,419,3,2,2,0
470000,486,3,2,2,0
340000,448,3,1,1,0
797000,2896,2,2,1,1
855000,502,3,1,2,0
319900,293,3,2,1,0
2000000,1053,4,2,2,0
2630000,514,4,2,1,0
340000,667,4,2,2,0
487500,1638,2,1,1,1
260000,531,3,1,2,0
342500,983,2,1,1,1
455000,649,4,2,2,0
255000,955,2,1,1,1
395000,204,3,2,1,1
275000,809,3,1,4,0
452000,522,5,2,2,0
339000,54,2,1,1,0
659000,699,4,2,2,0
610000,531,3,1,2,0
390000,752,3,2,1,0
270000,338,2,1,1,0
403000,282,3,2,1,0
440000,74,3,3,2,1
336000,300,3,2,2,0
350000,2177,2,1,1,1
400000,550,3,2,2,0
250000,177,2,1,1,1
336000,70,2,1,1,1
996000,495,4,2,1,0
420000,512,4,2,2,0
627000,217,3,2,2,0
700000,220,3,2,1,0
620000,589,3,3,2,0
680000,1349,2,2,1,0
1050000,652,3,2,1,0
920000,508,3,2,2,0
643000,501,3,1,2,0
382500,832,1,1,1,1
382000,376,3,1,2,1
285000,429,3,1,1,0
303000,165,2,1,1,1
360000,274,3,1,2,1
389000,320,3,2,2,0
335000,161,2,2,1,1
550000,587,4,1,2,0
502500,645,3,2,3,0
950000,286,2,2,2,0
675000,294,3,2,1,0
365000,582,4,2,2,0
691000,511,2,1,1,0
360000,527,4,2,4,0
328000,293,4,2,1,0
610000,312,3,2,2,1
575500,395,5,3,2,0
200000,700,3,2,2,0
565000,166,4,2,2,0
1215000,496,3,3,1,1
240000,944,1,1,1,1
330000,529,3,1,1,0
590000,181,2,1,1,0
295000,560,1,1,1,1
737500,759,7,2,4,0
455000,501,3,1,1,0
1700000,643,4,3,2,0
635000,1140,4,2,2,0
510000,565,3,1,1,0
380000,639,3,3,2,0
445000,1461,2,1,1,1
305000,595,2,1,2,0
337000,1685,3,1,1,1
360002,187,3,2,2,1
706000,190,3,2,1,0
321000,530,3,1,1,0
330000,333,3,1,1,0
576000,1684,2,1,1,1
437500,400,3,2,2,0
1160000,360,4,3,2,0
410000,334,4,2,2,0
390000,987,3,2,4,0
411000,643,2,1,2,0
337000,512,3,2,2,0
335000,223,3,1,2,1
252500,590,3,1,1,0
350000,190,3,2,1,0
430000,440,3,2,2,0
570000,314,3,2,2,0
580000,482,3,1,3,0
250000,535,3,1,2,0
1575000,618,3,2,2,0
410000,1110,1,1,1,1
482000,1226,2,1,1,1
320000,136,2,1,1,0
408000,400,3,1,1,0
428000,550,1,1,1,1
1675000,100,4,2,2,1
380000,689,3,1,1,0
1200000,505,4,1,2,0
240000,586,3,1,5,0
379900,190,3,3,2,0
455000,1939,2,1,1,1
276000,116,2,1,1,1
540000,2804,2,1,1,1
465000,475,2,1,1,1
616500,273,3,1,1,1
901000,251,3,2,1,1
590000,760,3,2,2,0
515000,1397,2,2,1,1
370000,320,3,1,1,0
1400000,650,4,3,2,0
2465000,251,4,2,3,0
377000,164,2,1,0,0
760000,708,3,1,1,0
575000,880,4,2,4,0
670000,102,3,2,2,0
490000,450,4,2,2,0
277500,126,3,1,1,1
635000,83,2,2,1,1
740000,296,3,3,1,1
615000,786,4,3,2,0
720000,211,3,2,2,1
747500,371,3,1,2,0
322800,147,2,1,1,1
365000,3372,1,1,1,1
330000,544,3,2,2,0
210000,442,3,2,1,0
740000,695,4,2,2,0
345000,629,3,1,4,0
1000000,1000,3,2,4,0
260000,178,2,1,1,1
664000,1025,3,3,4,0
490000,1752,2,2,1,1
348000,651,3,2,2,0
1430000,664,5,3,2,0
334000,508,3,2,2,0
310000,728,3,2,2,0
615000,368,2,1,2,0
570000,766,2,2,1,0
390000,144,2,1,1,1
300000,296,2,1,6,0
331000,655,4,2,2,0
501000,139,2,1,1,1
420000,840,3,1,1,0
1651000,292,3,1,2,0
385000,512,3,2,2,0
720000,655,3,2,3,0
402500,664,4,2,2,0
350000,711,3,2,4,0
329000,959,1,1,1,1
255000,120,2,1,1,1
375000,185,4,2,4,0
380600,106,3,2,1,0
285000,790,1,1,1,0
660000,1827,2,2,0,1
449500,92,3,2,2,1
295000,530,3,1,1,0
299000,192,2,1,1,1
540000,447,2,1,1,0
1940000,955,3,2,2,0
1315000,661,2,1,2,0
1400000,804,2,2,1,0
670000,191,2,1,1,1
505000,1226,2,1,1,1
345000,237,2,1,1,1
330000,313,3,2,2,0
385000,595,4,2,2,0
335000,580,3,1,1,0
390000,513,4,2,2,0
401500,239,1,1,1,1
440000,1116,4,2,3,0
928000,730,4,3,3,0
330000,140,2,1,1,1
309500,554,3,1,2,0
880000,710,4,2,2,0
565000,111,3,2,2,0
378000,313,3,1,1,0
450000,341,2,1,1,0
550000,261,4,2,2,0
405000,636,4,2,2,0
450000,801,3,2,2,0
430555,1031,3,2,1,0
356000,330,3,1,1,0
935000,649,4,1,2,0
1725000,1091,4,1,2,0
374000,1002,4,2,2,0
1023000,438,4,1,1,0
300000,577,3,2,2,0
620000,416,3,1,4,0
400000,213,2,1,2,1
393000,1401,2,1,1,1
480000,807,3,2,2,0
318500,1876,2,1,1,1
354950,325,4,2,2,0
340000,310,3,2,2,0
275000,657,1,1,1,1
337000,512,3,2,2,0
427500,474,3,2,2,0
285000,534,3,1,1,0
1715000,824,4,2,2,0
722000,531,3,1,2,0
2950000,703,3,2,2,0
275000,1047,2,1,1,1
425000,189,2,1,2,1
600000,773,3,2,1,1
295000,604,3,1,1,0
437000,1937,2,2,1,1
975000,766,4,4,4,0
445000,575,2,1,0,1
367500,533,3,1,1,0
520000,561,3,2,1,0
246000,359,2,1,1,1
980000,483,3,1,1,0
295000,664,3,1,2,0
352000,180,2,2,1,1
347000,638,3,2,1,0
283500,530,3,1,1,0
380000,480,3,2,2,0
469000,773,2,1,1,1
407000,833,3,2,2,0
442500,417,3,2,2,0
414000,424,4,2,2,0
450000,320,3,2,1,0
545000,401,6,3,2,0
800000,1285,2,1,1,1
755000,174,3,3,2,0
741000,660,3,2,2,0
558000,522,4,2,2,0
783000,277,3,2,1,0
755000,792,4,2,2,0
3988000,761,5,4,4,0
420000,797,4,2,2,0
280000,536,3,2,2,0
359000,589,4,2,1,0
320000,590,2,1,0,0
285000,647,3,2,2,0
375000,189,3,2,2,0
430000,572,3,2,2,0
2750000,1116,3,3,3,0
228000,265,2,1,1,1
430000,606,3,2,2,0
540000,371,3,2,3,0
250000,320,3,2,1,1
285200,535,4,2,2,0
365000,349,2,1,2,0
444900,471,4,2,2,0
355000,707,3,1,1,0
520000,962,2,1,1,1
240000,594,4,2,2,0
370000,840,2,2,1,1
442000,612,3,2,1,0
433000,562,4,2,2,0
652500,3003,2,1,1,1
306000,533,3,1,2,0
355000,220,3,2,1,0
340000,449,2,1,1,0
582000,2320,2,2,1,1
980000,246,5,1,3,0
451000,459,3,1,1,0
420000,399,3,2,2,0
533000,464,4,2,2,0
512000,955,2,1,1,1
661000,669,3,2,1,0
340000,1202,2,2,1,1
610000,515,2,1,1,0
315000,665,3,2,2,0
400000,2451,2,1,1,1
2010000,795,4,2,2,0
416000,2323,2,1,1,1
535000,739,3,2,2,0
410000,427,3,2,2,0
860000,697,2,2,2,1
1980000,657,4,2,2,0
1303000,696,3,1,1,0
432000,710,4,2,2,0
945000,420,2,2,2,1
518000,2578,2,1,1,0
280000,774,2,1,1,0
443000,400,4,2,2,0
550000,598,3,2,1,0
2200000,750,3,2,2,0
560000,1847,2,1,1,1
465000,121,3,2,2,1
530000,1969,2,2,1,1
1652000,783,3,1,1,0
